Time	LH_AnkleZ	LH_HipZ	LH_Knee	
0.68565	-0.1644274	-0.07580503	-0.3453211	
0.6857	-0.1644288	-0.0756735	-0.345001	
0.68575	-0.1635679	-0.07553745	-0.3446863	
0.6858	-0.1635689	-0.07539708	-0.344331	
0.68585	-0.1630104	-0.07524997	-0.343971	
0.6859	-0.1629374	-0.07509506	-0.3435833	
0.68595	-0.1629362	-0.07493432	-0.3431708	
0.686	-0.1609486	-0.07479645	-0.342913	
0.68605	-0.1608993	-0.07465033	-0.3426026	
0.6861	-0.1603771	-0.07449849	-0.3422959	
0.68615	-0.1603786	-0.07434755	-0.3419544	
0.6862	-0.1596654	-0.07418966	-0.3416124	
0.68625	-0.1596663	-0.07402591	-0.3412327	
0.6863	-0.1592384	-0.07385581	-0.3408452	
0.68635	-0.1590941	-0.07367957	-0.3404355	
0.6864	-0.1588221	-0.07349734	-0.3400115	
0.68645	-0.1568041	-0.07334904	-0.3397365	
0.6865	-0.1564929	-0.07319354	-0.3394167	
0.68655	-0.1564939	-0.07303537	-0.3390773	
0.6866	-0.155964	-0.07287297	-0.3387393	
0.68665	-0.155965	-0.07270633	-0.3383726	
0.6867	-0.155624	-0.07253505	-0.3379996	
0.68675	-0.1555149	-0.07235736	-0.3376062	
0.6868	-0.1553216	-0.0721747	-0.3371991	
0.68685	-0.1551578	-0.07198628	-0.3367743	
0.6869	-0.1550079	-0.07179346	-0.3363326	
0.68695	-0.1529571	-0.07163483	-0.3360494	
0.687	-0.1529577	-0.07147126	-0.3357146	
0.68705	-0.1526001	-0.07130461	-0.3353857	
0.6871	-0.1526016	-0.07113926	-0.3350349	
0.68715	-0.1518992	-0.07096978	-0.3346893	
0.6872	-0.1519002	-0.07079874	-0.334307	
0.68725	-0.1514594	-0.07062351	-0.3339207	
0.6873	-0.1514365	-0.070443	-0.3335103	
0.68735	-0.1511668	-0.07025839	-0.3330901	
0.6874	-0.1491179	-0.07011213	-0.3328205	
0.68745	-0.148757	-0.06995852	-0.3325078	
0.6875	-0.1487581	-0.06980417	-0.3321716	
0.68755	-0.1483259	-0.06964469	-0.3318337	
0.6876	-0.1483267	-0.06948039	-0.3314707	
0.68765	-0.148027	-0.06931068	-0.3310994	
0.6877	-0.1479235	-0.06913486	-0.3307079	
0.68775	-0.1477519	-0.06895346	-0.3303013	
0.6878	-0.1475975	-0.06876737	-0.3298778	
0.68785	-0.1474492	-0.06857631	-0.3294368	
0.6879	-0.1473045	-0.0683803	-0.328978	
0.68795	-0.1452207	-0.06822401	-0.3287055	
0.688	-0.1452217	-0.0680638	-0.3283801	
0.68805	-0.1450333	-0.06789964	-0.3280586	
0.6881	-0.1450346	-0.06773423	-0.3277259	
0.68815	-0.1442706	-0.06756503	-0.3274016	
0.6882	-0.1442718	-0.06739493	-0.3270358	
0.68825	-0.1438143	-0.06721994	-0.326667	
0.6883	-0.1438151	-0.06704073	-0.3262699	
0.68835	-0.1435013	-0.06685641	-0.325864	
0.6884	-0.1433847	-0.06666636	-0.3254371	
0.68845	-0.1431978	-0.06647133	-0.3249949	
0.6885	-0.1411047	-0.06631774	-0.3247292	
0.68855	-0.1408792	-0.06615714	-0.3244138	
0.6886	-0.1408806	-0.06599642	-0.3240795	
0.68865	-0.1404267	-0.06583031	-0.323746	
0.6887	-0.1404278	-0.06566265	-0.3233829	
0.68875	-0.1400465	-0.0654896	-0.3230145	
0.6888	-0.140047	-0.06531075	-0.3226212	
0.68885	-0.1398029	-0.06512637	-0.3222173	
0.6889	-0.1396713	-0.06493574	-0.321794	
0.68895	-0.1395148	-0.06473984	-0.3213543	
0.689	-0.1374117	-0.06458226	-0.321071	
0.68905	-0.1372451	-0.06441724	-0.3207393	
